"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20704","test_add_board","tests","Sat Oct 04 18:03:31 UTC 2025","passed","Sat Oct 04 18:03:52 UTC 2025","LoginTest","test_actions","",""
"","23944","test_valid_login","tests","Sat Oct 04 18:03:52 UTC 2025","broken","Sat Oct 04 18:04:16 UTC 2025","LoginTest","test_actions","",""
